,log2FoldChange,pvalue,padj
Dapma7bEVm000260,0.026117906,0.916353672,0.998544574
Dapma7bEVm000261,-0.334499079,0.166270592,0.956380318
Dapma7bEVm000262,-0.355430165,0.063138431,0.819615126
Dapma7bEVm000263,-0.312389936,0.319955363,0.997835001
Dapma7bEVm000264,0.04940184,0.906306131,0.998544574
Dapma7bEVm000265,-0.227425299,0.301695465,0.997835001
Dapma7bEVm000266,-0.142644794,0.46932403,0.997835001
Dapma7bEVm000267,-0.037246514,0.909313427,0.998544574
Dapma7bEVm000268,-0.151869445,0.438536911,0.997835001
Dapma7bEVm000269,-0.282055852,0.202877676,0.986497866
Dapma7bEVm000270,-0.608683226,0.032535714,0.662978806
Dapma7bEVm000271,-0.060492929,0.830995004,0.998544574
Dapma7bEVm000272,-0.409102709,0.268176879,0.997835001
Dapma7bEVm000273,-0.057034049,0.716233758,0.998544574
Dapma7bEVm000274,-0.081223069,0.69724553,0.998544574
Dapma7bEVm000275,-0.238108432,0.193097251,0.980744892
Dapma7bEVm000276,-0.022450146,0.86937873,0.998544574
Dapma7bEVm000277,0.180410748,0.373468117,0.997835001
Dapma7bEVm000278,-0.420589433,0.01447083,0.506772553
Dapma7bEVm000279,-0.154430738,0.334195566,0.997835001
Dapma7bEVm000280,-0.134727029,0.550759018,0.997835001
Dapma7bEVm000281,-0.200398697,0.445880897,0.997835001
Dapma7bEVm000282,-0.157000111,0.252668009,0.997835001
Dapma7bEVm000283,-0.277190376,0.096645001,0.890887799
Dapma7bEVm000284,0.261880078,0.213451981,0.991607831
Dapma7bEVm000285,-0.331337012,0.019267575,0.553134767
Dapma7bEVm000286,0.090380841,0.833039039,0.998544574
Dapma7bEVm000287,-0.419154462,0.205006061,0.988459046
Dapma7bEVm000288,-0.035782862,0.923565619,0.998544574
Dapma7bEVm000289,-0.454042469,0.211126842,0.99129443
Dapma7bEVm000290,-0.006506233,0.985342927,0.999369764
Dapma7bEVm000291,0.582123862,0.689357054,0.998544574
Dapma7bEVm000292,0.397708277,0.568934212,0.997835001
Dapma7bEVm000293,0.16412705,0.300201244,0.997835001
Dapma7bEVm000294,0.242860678,0.30006327,0.997835001
Dapma7bEVm000295,-1.05269929,0.059537485,0.808341228
Dapma7bEVm000296,0.036473405,0.901763444,0.998544574
Dapma7bEVm000297,-0.007793794,0.972601387,0.998544574
Dapma7bEVm000298,-0.326202442,0.204497983,0.987338595
Dapma7bEVm000299,0.203917609,0.315553448,0.997835001
