,log2FoldChange,pvalue,padj
Dapma7bEVm000253,0.686536608,0.536652953,0.890365635
Dapma7bEVm000254,-4.765172402,0.073311194,NA
Dapma7bEVm000255,0.193770515,0.114947834,0.537115452
Dapma7bEVm000256,-0.726838473,0.110537988,0.529095498
Dapma7bEVm000257,0.74590038,0.258108142,0.716388369
Dapma7bEVm000258,-0.40523988,0.041327145,0.319141567
Dapma7bEVm000259,-0.024847103,0.901900396,0.980727367
Dapma7bEVm000260,0.062894153,0.80016449,0.960167231
Dapma7bEVm000261,0.215016444,0.371584271,0.803625488
Dapma7bEVm000262,-0.346686343,0.069759545,0.421363498
Dapma7bEVm000263,-0.055322434,0.859813412,0.974034485
Dapma7bEVm000264,0.416459835,0.31827693,0.764793518
Dapma7bEVm000265,0.008195489,0.970196609,0.995963941
Dapma7bEVm000266,-0.194210423,0.323782713,0.76922535
Dapma7bEVm000267,0.347650123,0.286432147,0.739780167
Dapma7bEVm000268,0.078897871,0.686357065,0.936709574
Dapma7bEVm000269,-0.206276967,0.349760264,0.787214982
Dapma7bEVm000270,-0.137788417,0.626464608,0.918073906
Dapma7bEVm000271,0.032476793,0.908554622,0.983814714
Dapma7bEVm000272,0.004373142,0.990515005,0.998020684
Dapma7bEVm000273,0.289358131,0.063628941,0.402830025
Dapma7bEVm000274,-0.386281656,0.064702773,0.406362063
Dapma7bEVm000275,-0.31521451,0.084434564,0.466280429
Dapma7bEVm000276,0.043267388,0.75015282,0.951918699
Dapma7bEVm000277,1.151357423,1.09E-08,1.50E-06
Dapma7bEVm000278,-0.351384972,0.04094645,0.317915661
Dapma7bEVm000279,0.017612285,0.911814026,0.984001552
Dapma7bEVm000280,0.453372197,0.041219212,0.318597182
Dapma7bEVm000281,0.003940913,0.988004411,0.997674516
Dapma7bEVm000282,0.060093497,0.65991882,0.929324699
Dapma7bEVm000283,-0.129244331,0.434229929,0.840259282
Dapma7bEVm000284,0.456021281,0.029540492,0.265923926
Dapma7bEVm000285,-0.374905682,0.007779601,0.114342669
Dapma7bEVm000286,0.222514645,0.603275108,0.91177356
Dapma7bEVm000287,0.377954488,0.250215695,0.707420453
Dapma7bEVm000288,0.336813539,0.364528455,0.799559106
Dapma7bEVm000289,0.228821595,0.527865243,0.887021639
Dapma7bEVm000290,0.302034005,0.391604378,0.817724036
Dapma7bEVm000291,-0.115906757,0.936762881,NA
Dapma7bEVm000292,0.765691681,0.270636596,NA
Dapma7bEVm000293,0.80758316,3.24E-07,2.84E-05
Dapma7bEVm000294,-0.242230353,0.302280078,0.753787881
Dapma7bEVm000295,-0.560479111,0.307107095,NA
Dapma7bEVm000296,0.110038397,0.708305428,0.942413883
Dapma7bEVm000297,-0.099712707,0.660037782,0.929338438
Dapma7bEVm000298,-0.376480549,0.142028166,0.583611635
Dapma7bEVm000299,0.305847559,0.131367955,0.567429002
Dapma7bEVm000300,-0.213595348,0.437769265,0.842052038
Dapma7bEVm000301,0.294489919,0.192818166,0.646212955
Dapma7bEVm000302,-0.907307128,0.133161422,0.57082981
Dapma7bEVm000303,-0.35407821,0.468884693,NA
Dapma7bEVm000304,0.088124917,0.622221094,0.915949059
Dapma7bEVm000305,-0.314776647,0.184072159,0.639239982
Dapma7bEVm000306,0.06648205,0.819851886,0.964779209
Dapma7bEVm000307,0.558349615,0.239881947,0.697970478
Dapma7bEVm000308,0.22469979,0.503816877,0.876547521
Dapma7bEVm000309,-0.916564245,0.039678053,0.313747766
Dapma7bEVm000310,0.57185014,0.000170281,0.006273115
Dapma7bEVm000311,-0.137296606,0.673897509,0.933074282
Dapma7bEVm000312,-0.240604624,0.239309544,0.697724831
Dapma7bEVm000313,-0.141483372,0.617834888,0.915076084
Dapma7bEVm000314,-0.219659726,0.338150199,0.780488723
Dapma7bEVm000315,-0.056436897,0.714733835,0.943943611
Dapma7bEVm000316,0.019816379,0.92179824,0.985820597
Dapma7bEVm000318,0.161786086,0.461609347,0.857697123
Dapma7bEVm000319,0.210894244,0.548711565,0.895019087
Dapma7bEVm000320,-0.139018825,0.874756986,0.976136843
Dapma7bEVm000321,0.402009897,0.395259302,0.818723099
Dapma7bEVm000322,0.11601648,0.742545296,0.950272967
Dapma7bEVm000323,0.386256078,0.238124095,0.697475964
Dapma7bEVm000324,0.443300519,0.551907142,0.896057112
Dapma7bEVm000325,0.591929998,0.229954369,0.690573403
Dapma7bEVm000326,-0.281056093,0.163742976,0.611968698
Dapma7bEVm000327,0.541664786,0.119191489,0.54369316
Dapma7bEVm000328,-0.609635224,0.790097163,NA
Dapma7bEVm000329,-0.154105684,0.525994648,0.886203614
Dapma7bEVm000330,0.683385705,0.329555858,0.773874268
Dapma7bEVm000331,-0.01317387,0.977434198,NA
Dapma7bEVm000332,0.322255156,0.189651626,0.643514889
Dapma7bEVm000333,0.326310117,0.27072336,0.725789821
Dapma7bEVm000334,1.344943448,0.297614696,NA
Dapma7bEVm000335,0.326711014,0.220350074,0.680314207
Dapma7bEVm000336,-0.398484063,0.681444242,NA
Dapma7bEVm000337,-0.721756257,0.047262176,0.342882455
Dapma7bEVm000338,-0.363358836,0.165554412,0.614421303
Dapma7bEVm000339,-0.098878382,0.590711337,0.907883959
Dapma7bEVm000340,0.240744657,0.279314699,0.733233538
Dapma7bEVm000341,-0.022876386,0.901353566,0.980383288
Dapma7bEVm000342,0.609139284,0.009083597,0.125285918
Dapma7bEVm000343,0.270248528,0.52478801,NA
Dapma7bEVm000344,-0.103846267,0.5156442,0.882062464
Dapma7bEVm000345,0.130307448,0.577444167,0.904100988
Dapma7bEVm000346,-0.215299071,0.285289896,0.739062373
Dapma7bEVm000347,-0.015825163,0.954778533,0.991962559
Dapma7bEVm000348,-0.039614848,0.837349613,0.967428352
Dapma7bEVm000349,-0.128273497,0.325761639,0.771344468
Dapma7bEVm000350,-0.019560624,0.937159092,0.98995563
Dapma7bEVm000351,0.440590965,0.293427834,0.744505328
Dapma7bEVm000352,0.319524495,0.311052183,0.759338107
Dapma7bEVm000353,-0.210514614,0.263581202,0.71915683
Dapma7bEVm000354,-0.165620052,0.704338564,0.941090651
Dapma7bEVm000355,-0.61178199,0.191347923,0.644899338
Dapma7bEVm000356,0.392718668,0.031167627,0.272877063
Dapma7bEVm000357,-0.082962035,0.629271273,0.918444319
Dapma7bEVm000358,-0.184187239,0.444061659,0.846731955
Dapma7bEVm000359,-0.090923833,0.531063037,0.88743103
Dapma7bEVm000360,-0.105529849,0.764814834,0.95517673
Dapma7bEVm000361,-0.023731149,0.947158244,0.991560848
Dapma7bEVm000362,0.524389829,0.77333319,NA
Dapma7bEVm000363,-0.250840265,0.394179772,0.818723099
Dapma7bEVm000364,0.215173169,0.345916438,0.786100919
Dapma7bEVm000365,-0.015192685,0.918445687,0.985820597
Dapma7bEVm000366,-0.307132812,0.665328853,0.930209681
Dapma7bEVm000367,0.308054414,0.474153259,0.863295729
Dapma7bEVm000368,0.487513576,0.013844268,0.166977285
Dapma7bEVm000369,-0.280831957,0.848279675,NA
Dapma7bEVm000370,0.678956067,0.002234589,0.047070187
Dapma7bEVm000371,0.112782251,0.297896553,0.749604272
Dapma7bEVm000372,-0.031062959,0.898537491,0.97944845
Dapma7bEVm000373,-0.44488818,0.029414946,0.265451948
Dapma7bEVm000374,-0.067774876,0.793432301,0.958373294
Dapma7bEVm000375,0.29896071,0.229640789,0.690573403
Dapma7bEVm000376,0.068681815,0.87295208,0.976136843
Dapma7bEVm000377,0.677532534,0.000267099,0.009239883
Dapma7bEVm000378,0.216963939,0.14682417,0.586829521
Dapma7bEVm000379,0.717141896,0.000672948,0.018900279
