,C1,C2,C3,C4,IN2,IN3,IN4,IN5,AL2,AL3,AL4,AL5,ALIN2,ALIN3,ALIN4,ALIN5
Dapma7bEVm015029,7.758419589,8.183997449,10.15937659,8.76865133,8.515751282,9.086970249,7.912036205,8.214920676,7.39205227,10.39478308,7.7567838,7.925355732,9.503614953,9.169829681,7.376763455,9.944475497
Dapma7bEVm015030,9.899102959,9.720952336,9.457389965,9.481616254,9.472105742,9.432062516,9.485043965,9.411056308,9.701621877,9.150955606,9.747543079,9.641139036,9.282723069,9.507252975,9.468619736,9.425080218
Dapma7bEVm015031,7.590239458,6.929553181,7.079460321,7.309611259,7.744296995,7.931316249,7.453196944,7.188551828,7.680253515,7.209034147,6.724414309,7.570526281,7.449756952,7.429506593,7.669084411,7.55719854
Dapma7bEVm015032,7.525259552,7.509847325,7.079460321,7.783862727,7.570860333,7.560691194,7.478218448,6.724414309,7.429509896,7.051979186,7.100132377,7.611747029,6.880615492,7.014650762,7.376763455,7.078243533
Dapma7bEVm015034,6.9633413,7.368309457,6.975785687,7.236039916,7.164472428,7.120491402,7.184127934,7.40424888,7.106444936,6.724414309,7.208561131,7.242048252,6.724414309,7.17299609,7.037451335,6.724414309
Dapma7bEVm015035,9.54997503,9.826588846,9.614772155,9.44117355,9.404085647,9.335351115,9.342147807,9.374618982,9.80847571,9.760897694,9.630077522,9.369155232,9.572421971,9.646158229,9.235466104,9.55606759
Dapma7bEVm015036,9.49019404,9.750395779,8.95672158,9.365994111,9.159888185,9.229064467,9.287108044,9.792772207,9.780543233,9.430867574,9.426434986,9.397207421,9.152365791,9.287046761,9.16971558,9.467919027
Dapma7bEVm015037,9.04917973,9.193176431,8.677582418,8.72052817,9.182708818,8.247489719,9.200136108,9.009685274,9.086085586,9.353744042,8.91160182,9.051326636,8.572260177,8.80894024,8.727986317,8.738615221
Dapma7bEVm015038,9.487210744,9.06444822,9.371417235,9.138862096,9.246250491,9.410937088,9.344393706,9.672384541,9.473815083,9.673188484,9.477117565,9.464356407,9.493500127,9.733093361,9.255071391,9.450043681
Dapma7bEVm015039,7.783497276,7.079130508,8.307040116,7.953270822,7.49444349,7.729826152,7.46582239,7.259594526,7.506780833,8.506158035,7.353631874,7.672488466,7.073012739,7.440929767,7.598140677,7.718329079
Dapma7bEVm015040,11.11503807,11.00436273,11.03516949,10.88514139,10.76458638,10.78515681,10.90051672,10.88061796,11.16037169,10.63340596,10.81893706,10.83856993,11.0393051,10.93942148,10.92111508,10.86608545
Dapma7bEVm015041,8.191948142,8.033195479,8.005747441,7.783862727,7.704210037,7.71356428,7.795664741,8.34979279,7.981056832,7.910217001,7.767258613,7.76326679,8.088216741,8.27291296,7.970871569,7.870501341
Dapma7bEVm015043,8.017829843,7.889645806,8.317987609,7.999987307,8.534556885,7.988024509,8.33807726,8.367835649,8.288568134,7.980884834,7.996993886,8.161724318,7.95625607,8.168429383,8.044999992,8.318415258
Dapma7bEVm015044,8.580646705,8.704013497,8.815616243,8.812183188,8.700266182,8.539710675,8.703832422,8.735647844,8.263571085,7.711501497,8.605611375,8.50797969,8.22624741,8.343286979,8.842402894,8.831035362
Dapma7bEVm015045,6.9633413,7.670374723,7.628583947,7.5369323,7.164472428,7.380938314,7.294615717,7.499685746,7.123327115,8.088751966,7.46966214,7.459730621,7.106100278,7.241705521,7.004512588,7.765807505
Dapma7bEVm015046,7.082296187,7.509847325,7.976333247,7.507376441,7.937833663,8.070412666,7.46582239,7.291658089,7.225447451,8.929158981,7.275661055,7.318127156,7.965021257,7.97225164,7.432520476,7.299842349
Dapma7bEVm015047,10.31584886,10.36260175,10.23253368,9.89656471,10.14246891,9.782189146,10.0434602,10.10706135,10.13834751,10.26249735,10.22137168,10.08581017,9.931867847,10.218509,9.987468957,9.960168793
Dapma7bEVm015048,9.634405279,9.580183548,9.618787525,9.19771055,9.337579159,9.104059756,9.21995079,9.883859061,9.77488933,9.643353792,9.660928791,9.556639068,10.28742993,10.35054088,9.337671911,10.18213081
