,C1,C2,C3,C4,IN2,IN3,IN4,IN5,AL2,AL3,AL4,AL5,ALIN2,ALIN3,ALIN4,ALIN5
Dapma7bEVm018659,406.9604368,464.7170373,200.6096279,255.3325957,232.448092,249.5182981,247.0749823,478.3649817,520.0398812,389.7991707,377.4479652,362.6989647,532.2938771,656.9932604,295.8814187,524.1775394
Dapma7bEVm018660,63.95092578,101.7237754,65.4395043,78.95152631,107.9616731,75.7466262,23.62469951,64.395286,69.15784601,25.18365429,121.4084219,76.50251303,122.8370486,119.375246,84.96594795,64.98949167
Dapma7bEVm018661,162.0574597,135.9886261,59.00283174,175.5411596,138.8078654,74.85548943,139.7794721,27.59797971,134.9256015,83.2155533,195.9363641,148.0516259,88.09525705,142.5632434,146.94111,125.7173773
Dapma7bEVm018663,84.29894762,66.38814818,85.82230072,95.7497234,94.74187637,96.24277212,100.4049729,110.3919189,56.95352024,93.07002672,51.68873409,52.2858902,19.85245229,75.57569531,81.96714979,138.5021954
Dapma7bEVm018664,79.21194216,56.75115893,54.71171671,70.55242777,73.81053159,85.54913077,44.29631157,33.11757566,47.46126687,58.03189901,87.75064159,62.74306824,58.31657861,49.81125373,64.9739602,113.9979608
Dapma7bEVm018665,170.0513254,177.7489129,160.9168138,220.0563818,287.5305783,270.9055808,204.7473957,82.79393914,240.6964248,255.1213674,231.9982716,203.0894051,227.0624231,194.0921266,252.8986451,331.3398674
Dapma7bEVm018666,138.8025775,134.9178495,141.6067962,227.6155705,171.8573571,221.8930579,245.1062574,217.1041071,184.4209227,200.3742928,269.2622427,230.6082947,224.5808666,211.268421,277.8886298,221.6035126
Dapma7bEVm018667,124.9949913,126.3516369,108.3506547,100.7891825,91.4369272,125.6502858,149.6230969,185.8263967,89.49838895,96.35485119,164.6827109,168.4156042,110.4292659,74.71688059,105.9575351,83.10131722
Dapma7bEVm018668,24.70831223,44.97261651,4.291115036,5.879368981,66.09898352,15.14932524,89.57698562,71.75474726,24.40865153,17.51906385,9.616508668,24.76700062,0,24.04681214,35.98557796,9.588613525
Dapma7bEVm018669,10.17401092,6.424659501,131.9517874,60.47350952,29.74454258,49.90365962,66.9366486,0,39.32504969,61.31672348,32.45571675,12.65868921,21.09323056,25.76444158,38.98437612,5.327007514
Dapma7bEVm018673,33.42889302,62.10504185,0,11.75873796,9.914847527,27.62524015,28.5465119,14.71892251,42.03712208,60.22178199,39.66809826,20.36397829,35.98256978,56.68177148,17.99278898,19.17722705
Dapma7bEVm018674,416.4077326,324.4453048,474.1682115,343.5231304,201.6018997,319.9181036,364.2141174,384.5318507,360.7056282,220.0832396,400.2871733,314.8160968,364.7888109,366.7138852,407.8365502,485.8230853
Dapma7bEVm018675,16379.43087,20533.21177,23909.0202,19417.87592,23947.66173,20968.44841,24326.54995,25737.87588,22813.95296,16642.01572,26840.87776,25304.71972,24713.82155,24829.19235,30784.66234,26613.72954
Dapma7bEVm018676,1489.03917,439.0183993,823.8940869,5507.288915,1427.738044,2681.430568,869.1920693,1368.859794,151.876054,200.3742928,451.9759074,3043.03881,660.0940388,607.1820066,698.719972,477.2998733
